2017-11-06 16:57:10,118 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-06 17:20:43,171 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-13 17:33:13,213 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-11-13 17:35:40,833 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-13 17:38:57,419 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-16 11:31:52,278 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-11-30 21:21:21,386 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-12-09 12:03:27,090 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @10135133ms
2017-12-09 12:03:27,378 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-12-09 12:03:27,480 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@598d2c11{/help,null,AVAILABLE}
2017-12-09 12:03:27,521 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@1ffd7fb3{HTTP/1.1,[http/1.1]}{127.0.0.1:38666}
2017-12-09 12:03:27,522 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @10135568ms
2017-12-09 17:00:51,285 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@1ffd7fb3{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-12-09 17:00:51,334 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@598d2c11{/help,null,UNAVAILABLE}
2017-12-15 16:30:28,565 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-12-15 16:30:41,259 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
